,growth_collection,processing,preparation,material,energy,things,buildings,infrastructure,inhabited,waste,sleep,hygiene_grooming,childcare,adultcare,moving_things,moving_people,organization,education,meals,active_recreation,religious,social,interactive,passive,work_employed,work_other,unknown
"('CYP', 17)",0.203417,0.0452038,0.4746397,0.1070616,,,0.2379146,,0.8041515,,7.4,0.718,0.1153886,0.0749431,0.2724123,0.8485,0.2605165,2.249768,0.888,0.9409524,0.406834,2.4267293,1.0515827,4.4727952,,,
"('CYP', 18)",0.203417,0.0452038,0.4746397,0.1070616,,,0.2379146,,0.8041515,,7.4,0.718,0.1153886,0.0749431,0.2724123,0.8485,0.2605165,2.249768,0.888,0.9409524,0.406834,2.4267293,1.0515827,4.4727952,,,
"('GEO', 0)",,,,,,,,,,,13.16,1.2738,,,,0.8485,,,1.6619,1.093649,0.0649134,0.7620264,3.0650395,2.0708773,,,
"('GEO', 1)",,,,,,,,,,,12.6,1.2738,,,,0.8485,,,1.6619,1.180449,0.0700654,0.8225064,3.3083035,2.2352373,,,
"('GEO', 2)",,,,,,,,,,,12.0,1.2738,,,,0.8485,,,1.6619,1.273449,0.0755854,0.8873064,3.5689435,2.4113373,,,
"('GEO', 3)",,,,,,,,,,,12.0,1.219,,,,0.8485,,,1.3381,1.4026061,0.179623,0.7803715,2.8799834,3.351816,,,
"('GEO', 4)",,,,,,,,,,,11.5,1.1615,,,,0.8485,,,1.8348,1.1416209,0.1791626,1.3450181,2.9946992,2.9946992,,,
"('GEO', 5)",,,,,,,,,,,11.5,1.1615,,,,0.8485,,2.257212625,1.8348,0.8438945,0.1324383,0.9942472,2.2137036,2.2137036,,,
"('GEO', 6)",,,,,,,,,0.7735561,,9.7,1.1333,,,,0.8485,,2.325751,1.1619,1.6292363,0.2684487,0.7585442,2.0486874,3.3529595,,,
"('GEO', 7)",,,,,,,,,0.7998361,,9.4,1.1333,,,,0.8485,,2.325751,1.1619,1.6845863,0.2775687,0.7843142,2.1182874,3.4668695,,,
"('GEO', 8)",0.0803058,0.0092305,0.1523041,0.0046153,,,0.2206101,,0.4670658,,9.3,1.1333,0.2279946,0.2279946,0.0969208,0.8485,0.0147689,2.325751,1.1619,1.2664313,0.7679817,0.7532128,1.6245766,3.3156132,,,
"('GEO', 9)",0.0807916,0.0086562,0.1952464,0.004809,,,0.2202533,,0.5578468,,9.3,0.8979,0.2279478,0.2279478,0.0961805,0.8485,0.0144271,2.325751,1.0098,1.4504018,0.779062,0.6088225,1.5186899,3.6269663,,,
"('GEO', 10)",0.0434476,0.0098744,0.3683169,0.0819579,,,0.1175059,,0.7139227,,9.1,0.7914,0.206376,0.1224432,0.1876145,0.8485,0.0651714,2.325751,1.0599,1.2234442,0.663563,0.9904072,1.513753,3.5696133,,,
"('GEO', 11)",0.0438876,0.0099744,0.3720469,0.0827879,,,0.1186959,,0.7211527,,9.0,0.7914,0.208466,0.1236832,0.1895145,0.8485,0.0658314,2.325751,1.0599,1.2358342,0.670283,1.0004372,1.529083,3.6057633,,,
"('GEO', 12)",0.1469534,0.0328847,0.3535102,0.0914605,,,0.0626864,,0.7882045,,8.9,0.7876,0.1243452,0.0801564,0.1736722,0.8485,0.1315387,2.19754,0.9899,1.2362581,0.4182519,1.3852668,1.3955433,3.8577831,,,
