,growth_collection,processing,preparation,material,energy,things,buildings,infrastructure,inhabited,waste,sleep,hygiene_grooming,childcare,adultcare,moving_things,moving_people,organization,education,meals,active_recreation,religious,social,interactive,passive,work_employed,work_other,unknown
"('CUB', 3)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('CUB', 4)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('CUB', 5)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('CUB', 6)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('CUB', 7)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('CUB', 8)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('CUB', 9)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('CUB', 10)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('CUB', 11)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('CUB', 12)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('CUB', 13)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('CUB', 14)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('CUB', 15)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('CUB', 16)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.413917,0,0,0,0,0,0,0,0,0
"('CUB', 17)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.413917,0,0,0,0,0,0,0,0,0
"('CUB', 18)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.413917,0,0,0,0,0,0,0,0,0
"('CUW', 0)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('CUW', 1)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('CUW', 2)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('CUW', 3)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('CUW', 4)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('CUW', 5)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
